City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,namtsy,62.7161,129.6658,-41.07,100,98,0.4,RU,1733963463
302,namdrik,5.5994,168.1028,28.6,77,73,7.61,MH,1733963464
303,wang nam yen,13.5033,102.1812,23.73,79,100,3.72,TH,1733963465
304,cambuslang,55.8192,-4.1686,0.66,93,100,0.51,GB,1733963466
305,tauranga,-37.6861,176.1667,19.73,94,100,1.22,NZ,1733963468
306,ermelo,-26.5333,29.9833,15.46,70,57,0.92,ZA,1733963469
307,oriximina,-1.7656,-55.8661,24.29,92,91,1.7,BR,1733963470
308,dumbea,-22.15,166.45,33.98,99,48,3.75,NC,1733963471
309,ilha de mocambique,-15.0342,40.7358,26.55,85,0,3.04,MZ,1733963472
310,amontada,-3.3617,-39.8317,26.16,80,99,4.37,BR,1733963473
311,puerto baquerizo moreno,-0.9,-89.6,22.58,87,63,4.07,EC,1733963474
312,moranbah,-22.0016,148.0466,26.99,68,100,1.28,AU,1733963475
313,santarem,-2.4431,-54.7083,29.07,70,75,2.57,BR,1733963404
314,yasothon,15.75,104.1333,23.89,75,100,7.22,TH,1733963479
315,kuqa,41.7278,82.9364,-11.59,79,40,1.85,CN,1733963480
316,okahandja,-21.9833,16.9167,25.53,34,9,2.97,NA,1733963481
317,al ghayzah,16.2079,52.176,21.03,37,8,3.9,YE,1733963482
318,blackfoot,43.1905,-112.345,-1.97,51,100,2.09,US,1733963483
319,siniscola,40.5719,9.6922,11.15,73,100,0.99,IT,1733963484
320,malanville,11.8685,3.3899,25.8,24,100,3.09,BJ,1733963487
321,mount pearl,47.5166,-52.7813,6.85,98,100,10.8,CA,1733963488
322,egilsstadir,65.2653,-14.3948,8.95,71,75,5.66,IS,1733963489
323,tosontsengel,48.7567,98.2839,-24.11,100,100,0.66,MN,1733963491
324,nuuk,64.1835,-51.7216,-7.66,67,0,6.69,GL,1733963492
325,sao luiz gonzaga,-28.4083,-54.9608,24.39,53,97,2.05,BR,1733963283
326,masterton,-40.9597,175.6575,16.49,81,100,1.54,NZ,1733963494
327,pajacuaran,20.1167,-102.5667,18.72,59,40,2.21,MX,1733963495
328,waynesville,35.4887,-82.9887,0.14,62,40,4.47,US,1733963389
329,nejo,9.5,35.5,14.87,60,0,0.72,ET,1733963500
330,new norfolk,-42.7826,147.0587,18.84,60,99,3.95,AU,1733963501
331,ankang,32.68,109.0172,5.3,64,97,0.83,CN,1733963502
332,katsuren-haebaru,26.3369,127.8719,20.22,75,75,7.72,JP,1733963505
333,tuni,17.35,82.55,20.26,81,47,2.53,IN,1733963506
334,paradip garh,20.3167,86.6167,15.95,56,100,4.56,IN,1733963507
335,tuy hoa,13.0833,109.3,24.57,98,100,4.11,VN,1733963508
336,opuwo,-18.0607,13.84,21.35,75,100,2.44,NA,1733963510
337,lulea,65.5842,22.1547,-2.96,63,53,7.2,SE,1733963511
338,atar,20.5169,-13.0499,18.04,43,0,3.98,MR,1733963512
339,cockburn town,21.4612,-71.1419,26.58,75,2,7.78,TC,1733963513
340,chifeng,42.2683,118.9636,-6.21,42,13,1.94,CN,1733963514
341,tindouf,27.6711,-8.1474,11.25,54,0,5.14,DZ,1733963515
342,tabou,4.423,-7.3528,25.74,83,20,2.42,CI,1733963516
343,asubulaq,49.5583,83.0558,-14.34,89,100,3.16,KZ,1733963517
344,maragogi,-9.0122,-35.2225,26.12,82,0,4.39,BR,1733963519
345,puerto leguizamo,-0.1934,-74.7819,23.23,91,44,0.6,CO,1733963520
346,ancud,-41.8697,-73.8203,12.56,77,0,3.83,CL,1733963393
347,hastings,50.8552,0.5729,7.1,62,100,6.63,GB,1733963522
348,fonte boa,-2.4959,-66.2662,23.56,97,100,0.62,BR,1733963523
349,margate,51.3813,1.3862,7.05,76,100,0.45,GB,1733963316
350,sarupathar,26.1984,93.8094,12.92,90,12,0.98,IN,1733963525
351,novoagansk,61.9449,76.6625,-7.61,91,100,6.14,RU,1733963526
352,prado,-17.3411,-39.2208,24.54,91,99,3.26,BR,1733963292
353,walvis bay,-22.9575,14.5053,16.58,94,57,3.39,NA,1733963529
354,fort st. john,56.2499,-120.8529,-11.06,85,75,2.06,CA,1733963405
355,tazovsky,67.4667,78.7,-9.08,94,100,5.86,RU,1733963531
356,pyay,18.8167,95.2167,18.43,81,1,2.49,MM,1733963532
357,chui,-33.6971,-53.4616,17.31,82,0,4.54,UY,1733963533
358,sunrise,26.1577,-80.2861,24.44,80,100,5.14,US,1733963534
